2025-08-23T10:58:22.031Z INFO  [AlertingService] Alert rule added: High CPU Usage | {"ruleId":"high_cpu_usage","type":"system","severity":"high"}
2025-08-23T10:58:22.033Z INFO  [AlertingService] Alert rule added: High Memory Usage | {"ruleId":"high_memory_usage","type":"system","severity":"high"}
2025-08-23T10:58:22.034Z INFO  [AlertingService] Alert rule added: Critical CPU Usage | {"ruleId":"critical_cpu_usage","type":"system","severity":"critical"}
2025-08-23T10:58:22.034Z INFO  [AlertingService] Alert rule added: Critical Memory Usage | {"ruleId":"critical_memory_usage","type":"system","severity":"critical"}
2025-08-23T10:58:22.034Z INFO  [AlertingService] Alert rule added: Workflow Execution Failed | {"ruleId":"workflow_failure","type":"workflow","severity":"medium"}
2025-08-23T10:58:22.034Z INFO  [AlertingService] Alert rule added: Workflow Execution Timeout | {"ruleId":"workflow_timeout","type":"workflow","severity":"medium"}
2025-08-23T10:58:22.035Z INFO  [AlertingService] Alert rule added: Feature Request Processing Failed | {"ruleId":"feature_request_failure","type":"feature","severity":"low"}
2025-08-23T10:58:22.035Z INFO  [AlertingService] Alert rule added: High Error Rate | {"ruleId":"high_error_rate","type":"error","severity":"high"}
2025-08-23T10:58:22.061Z INFO  {req:req_1755946702039_irvg06jhd} Completed database_initialization in 22ms | {"duration":22,"success":true}
2025-08-23T10:58:22.061Z INFO   Database initialized successfully
2025-08-23T10:58:22.062Z INFO  [SystemMonitoringService] Starting system monitoring with 30000ms interval | {"intervalMs":30000}
2025-08-23T10:58:22.065Z INFO   System monitoring started
2025-08-23T10:58:22.083Z INFO  [SystemMonitoringService]{req:req_1755946702063_3ddrszawg} Completed collect_system_metrics in 20ms | {"duration":20,"success":true}
2025-08-23T10:58:22.086Z INFO  [Server] Server running on port 3001 | {"port":3001,"environment":"development"}
2025-08-23T10:58:22.086Z INFO   WebSocket server ready for connections
2025-08-23T10:58:22.130Z INFO  [SystemMonitoringService]{req:req_1755946702084_re1a6ggbf} Completed store_system_metrics in 46ms | {"duration":46,"success":true}
2025-08-23T10:58:52.078Z INFO  [SystemMonitoringService]{req:req_1755946732077_pgmdxdu4f} Completed collect_system_metrics in 1ms | {"duration":1,"success":true}
2025-08-23T10:58:52.091Z INFO  [SystemMonitoringService]{req:req_1755946732080_52x81rnle} Completed store_system_metrics in 11ms | {"duration":11,"success":true}
